"Title","Speaker","Room","StartTime"
"Automate Your Documentation with Local AI","Ian Trimble","BEC 1425 (Cloud 2)","7/26/2025 11:20:00 AM"
"Connecting Power BI to API using POST","Russel Loski","BEC 1425 (Cloud 2)","7/26/2025 1:40:00 PM"
"Secure Communication Protocol for Distributed Environments","Sravanthi Akavaram","BEC 1425 (Cloud 2)","7/26/2025 2:00:00 PM"
"Squeezing the Apple for All Its Juice","Mike Sammartino","BEC 1425 (Cloud 2)","7/26/2025 2:20:00 PM"
"Who Needs a Warehouse When You've Got a Lakehouse?","Nilanjan Chatterjee","BEC 1425 (Cloud 2)","7/26/2025 2:45:00 PM"
"Getting Started Getting Started with Containerization","Garo Yeriazarian","BEC 1425 (Cloud 2)","7/26/2025 3:05:00 PM"
"Agentic AI in Construction – Transforming the Industry with Intelligent Solutions","Dr. Srikanth Bangaru","BEC 1425 (Cloud 2)","7/26/2025 3:25:00 PM"
"High speed failover Clustering with RDMA/ROCE with Hyper-v over converged multigigabit networks","Christopher Long","BEC 1920 (Security)","7/26/2025 8:30:00 AM"
"Strength in Partnerships: Cybersecurity and the Value of Vendor Management","Rachel Arnold","BEC 1920 (Security)","7/26/2025 9:40:00 AM"
"SQL Server 2025: an enterprise AI-ready database platform","Ben Miller","BEC 1920 (Security)","7/26/2025 11:20:00 AM"
"Let’s Hack a Database","Miguel Solis","BEC 1920 (Security)","7/26/2025 1:40:00 PM"
"Narrative as a Design Tool","Ricky Tucker","BEC 1920 (Security)","7/26/2025 2:45:00 PM"
"Streamlining DataOps in Fabric: Implementing Azure DevOps CI/CD Pipelines for Fabric SQL DB","Kevin Pereira","BEC 2520 (SQL Server Development)","7/26/2025 8:30:00 AM"
"Modeling Software Development Problems in Time and Thinking Temporally","Calvin Fabre","BEC 2520 (SQL Server Development)","7/26/2025 9:40:00 AM"
"README.md? We Can Do Better!","George Mauer","BEC 2520 (SQL Server Development)","7/26/2025 11:20:00 AM"
"Natural Language Queries with ASP.NET","Glenn Rumfellow","BEC 2520 (SQL Server Development)","7/26/2025 1:40:00 PM"
"The T-SQL JSON Operators","Jeff Foushee","BEC 2520 (SQL Server Development)","7/26/2025 2:45:00 PM"
"Become immediately effective with PowerShell","Sean Wheeler","LA Tech Park 1","7/25/2025 8:00:00 AM"
"Jumpstart Your Power BI Skills: A Handson Workshop","Russel Loski","LA Tech Park 2","7/25/2025 8:00:00 AM"
